task,program,pass
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 false) (lambda (lambda (color_logical $0 $1 red land))))),True
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 false) (lambda (lambda (color_logical $1 $0 red land))))),True
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (negate_boolean true)) (lambda (lambda (color_logical $0 $1 red land))))),True
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (negate_boolean true)) (lambda (lambda (color_logical $1 $0 red land))))),True
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (grid_to_block $0))) (lambda (lambda (color_logical $0 $1 red land))))),True
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (grid_to_block $0))) (lambda (lambda (color_logical $1 $0 red land))))),True
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (remove_black_b (grid_to_block $0)))) (lambda (lambda (color_logical $0 $1 red land))))),True
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (remove_black_b (grid_to_block $0)))) (lambda (lambda (color_logical $1 $0 red land))))),True
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (grow (grid_to_block $0) 1))) (lambda (lambda (color_logical $0 $1 red land))))),True
0520fde7.json,(lambda (overlap_split_blocks (split_grid $0 (is_tile (grow (grid_to_block $0) 1))) (lambda (lambda (color_logical $1 $0 red land))))),True
0b148d64.json,(lambda (to_min_grid (remove_black_b (remove_color (grid_to_block $0) (nth_primary_color (grid_to_block $0) 1))) true)),True
0b148d64.json,(lambda (to_min_grid (remove_color (remove_black_b (grid_to_block $0)) (nth_primary_color (grid_to_block $0) 1)) true)),True
0b148d64.json,(lambda (to_min_grid (remove_black_b (remove_color (grid_to_block $0) (nth_primary_color (grid_to_block $0) 1))) false)),True
0b148d64.json,(lambda (to_min_grid (remove_color (remove_black_b (grid_to_block $0)) (nth_primary_color (grid_to_block $0) 1)) false)),True
0b148d64.json,(lambda (to_min_grid (remove_color (remove_black_b (remove_black_b (grid_to_block $0))) (nth_primary_color (grid_to_block $0) 1)) true)),True
0b148d64.json,(lambda (to_min_grid (remove_color (remove_black_b (remove_black_b (grid_to_block $0))) (nth_primary_color (grid_to_block $0) 1)) false)),True
0b148d64.json,(lambda (to_min_grid (remove_color (remove_black_b (grid_to_block $0)) (nth_primary_color (reflect (grid_to_block $0) true) 1)) true)),True
